lbiomass,abundance,siteyr,provider,country,region,atoll,lat,lon,depth,sc,mpage,mpasize,tiderange,complexity,complexmethod,sampmethod,samparea,hc,algae,protection,MGMT_type,habitat,herbivore,microinvertivore,macroinvertivore,corallivore,piscivore,detritivore,exscraper,planktivore,spongivore,pisciinvert,grazer,browser,ss_int,ss_slope,site,year,productivity
7.41102437593849,151633.33333391,BAK-002::2006,Ivor,Baker (US),Pacific,0,0.1883,-176.47988,16,NA,32,3.90275801,NA,NA,4,2,200,0.333333333,0.117647059,Remote,None,slope,0.216932256552948,0.188419674137611,0.0994811312224608,0.0134303561264605,0.11611915350595,0.0904447098369716,0.0660185050039941,0.137632834457514,0.0187822565541275,0.118757627605956,0.127190901548856,0.0237228500000979,21.4786884597422,2.54406350082812,BAK-002,2006,3.18025524428005
7.17453105557745,71616.66666726,BAK-003::2006,Ivor,Baker (US),Pacific,0,0.1882,-176.48273,11,NA,32,3.90275801,NA,NA,4,2,200,0.352941176,0.049019608,Remote,None,slope,0.229970979191316,0.212313814418551,0.033647897794094,0.0281490891504159,0.0480200913884563,0.103791180838829,0.0930957698944029,0.140857663779687,0.0194204693168731,0.183828814121778,0.113306939560703,0.0235682697362099,16.9479416534124,1.85322761942391,BAK-003,2006,3.18025524428005
6.38901163180043,58050,BAK-004::2008,Ivor,Baker (US),Pacific,0,0.20593,-176.47943,18,NA,34,3.90275801,NA,NA,4,2,200,0.098039216,0.039215686,Remote,None,slope,0.123998533551412,0.346197328003592,0,0.041172542489746,0.177139432215717,0.0490339203656135,0,0.130164013841248,0,0.132294229532671,0.0842715108909451,0.0397270226604666,11.700307346764,1.38556943972816,BAK-004,2008,3.18025524428005
7.68294308314591,101166.66666799,BAK-005::2006,Ivor,Baker (US),Pacific,0,0.197,-176.4862,14,NA,32,3.90275801,NA,NA,4,2,200,0.196078431,0,Remote,None,slope,0.26178377106821,0.156416293102111,0.0821397934742368,0.0119279834197302,0.104193287484114,0.0908303103899967,0.0852095243990107,0.172433162124934,0.0232336079386896,0.0970417909979787,0.144991456063197,0.0315827906060017,16.6403898079355,1.35185499630683,BAK-005,2006,3.18025524428005
7.27820380121912,333925,BAK-005::2008,Ivor,Baker (US),Pacific,0,0.197,-176.4862,9,NA,34,3.90275801,NA,NA,4,2,200,0.215686275,0.009803922,Remote,None,slope,0.305866379844078,0.183829132666844,0.0610359543854667,0.0345030712500502,0,0.137636574738216,0.0977918912557152,0.178753455778966,0.0222010671985332,0.0761743641378461,0.184517396825151,0.0235570917632123,36.7807606033854,5.33166107279797,BAK-005,2008,3.18025524428005
7.05667626108703,219700.00000107,BAK-006::2006,Ivor,Baker (US),Pacific,0,0.18763,-176.47473,11,NA,32,3.90275801,NA,NA,4,2,200,0.352941176,0.098039216,Remote,None,slope,0.16027571389303,0.262310407816792,0.0796825710447059,0.020929293564384,0.0846706240287568,0.123744071989276,0.0770275586478315,0.150844626848813,0,0.117542690814242,0.0457367203510497,0.0375114348941486,18.340864459249,2.17023369245359,BAK-006,2006,3.18025524428005
7.21965319058614,75466.66666978,BAK-007::2006,Ivor,Baker (US),Pacific,0,0.19085,-176.48893,15,NA,32,3.90275801,NA,NA,4,2,200,0.284313725,0.049019608,Remote,None,slope,0.253545140538974,0.137471977646176,0.0819970509550708,0.0104622973350098,0.113226109238875,0.133408298470745,0.0706789190593384,0.152979566828739,0.026626889117455,0.0902826698689548,0.0943286436320204,0.0885375778476148,12.6813873729948,1.33366599944119,BAK-007,2006,3.18025524428005
7.66366551939016,127500.00000998,BAK-011::2006,Ivor,Baker (US),Pacific,0,0.1989,-176.485,12,NA,32,3.90275801,NA,NA,4,2,200,0.107843137,0.009803922,Remote,None,slope,0.265496469617567,0.123433087497649,0.069984005675481,0.0292401970056467,0.0603865386927097,0.0715071761278588,0.0789477574242294,0.156006108859896,0,0.223946416523192,0.107932634688071,0.0786160775052663,31.5252955983407,4.2777403799084,BAK-011,2006,3.18025524428005
7.69476246410676,122700,BAK-011::2008,Ivor,Baker (US),Pacific,0,0.1989,-176.485,9,NA,34,3.90275801,NA,NA,4,2,200,0.254901961,0,Remote,None,slope,0.251155353891481,0.160700201424696,0.119115522648532,0.030494400435342,0,0.109274571640963,0.0580605791479088,0.226099054576797,0.0211146710398654,0.0820462243423233,0.142315856713853,0.0507789180297185,20.4706911170977,2.58582687370544,BAK-011,2008,3.18025524428005
6.67083945127191,49025,BAK-014::2008,Ivor,Baker (US),Pacific,0,0.20532,-176.47439,16.5,NA,34,3.90275801,NA,NA,4,2,200,0.294117647,0.019607843,Remote,None,slope,0.251463998271584,0.288992426923987,0.036235058700077,0.0265020101885437,0.0773440840983486,0.0559868942216715,0.196805528866996,0.187510365077808,0.0398570553003955,0.0361081072175855,0.0546584694045874,0,9.062916724365,0.771951062307006,BAK-014,2008,3.18025524428005
5.79812589502949,14733.33333296,BAK-016::2006,Ivor,Baker (US),Pacific,0,0.1947,-176.4628,12,NA,32,3.90275801,NA,NA,4,2,200,0.529411765,0,Remote,None,slope,0.131595764232667,0.241322377014581,0.138000031149008,0.0567794374260939,0.0856159487823214,0.152932697619598,0.0690632146892009,0.123572962215373,0,0.0701807815603576,0.0625325495434663,0,8.6846662383654,1.25031055738683,BAK-016,2006,3.18025524428005
6.60527959663282,28899.9999997,Ducie_01::2012,Friedlander,Ducie (PI),Pacific,1,-24.6789,-124.785,20.6,-999,0,0,1,-999,NA,2,100,0.188,0.088,Remote,None,slope,0.189610749498902,0.279423611606491,0.0651549587535073,0.0883261527110558,0.103675764201821,0.0615937369663933,0.068061577843734,0.155965480621793,0.0217355222476091,0.0345140233924275,0.0872134061180792,0.0343357655370891,15.0324238449526,1.99024085142603,Ducie_01,2012,-3.25289738271995
7.90772939938253,44266.66666631,Ducie_02::2012,Friedlander,Ducie (PI),Pacific,1,-24.6789,-124.785,20,-999,0,0,1,-999,NA,2,100,0.504,0.3,Remote,None,slope,0.353372524939786,0.186881865684609,0.0614969344150696,0.0796234224446567,0.0995568495385536,0.11572601434568,0.12872854714066,0.0864680519481306,0,0.0168743366835148,0.121432827563334,0.103211150235792,39.7444246565305,6.28684904748266,Ducie_02,2012,-3.25289738271995
7.48669240405086,44666.6666625,Ducie_03::2012,Friedlander,Ducie (PI),Pacific,1,-24.6789,-124.785,21.3,-999,0,0,1,-999,NA,2,100,0.412,0.084,Remote,None,slope,0.33051687427713,0.211960184450244,0.035205120420327,0.0867298887669884,0.0717967565544505,0.0711819243903752,0.120699916879596,0.115650902578039,0,0.0769583485624459,0.115673764349402,0.0941431930481311,22.2743954740487,3.17909815303286,Ducie_03,2012,-3.25289738271995
7.58309724352475,72633.3333265,Ducie_04::2012,Friedlander,Ducie (PI),Pacific,1,-24.6789,-124.785,10.6,-999,0,0,1,-999,NA,2,100,0.504,0.016,Remote,None,slope,0.235429820429012,0.206519803244821,0.043338115649723,0.106917379018041,0.117439590965167,0.0605242868697409,0.0657962625833808,0.154468645092799,0,0.0753623587306969,0.092615170305675,0.0770183875399566,24.6848409243062,3.44189345109722,Ducie_04,2012,-3.25289738271995
7.12522091770588,34700.00000035,Ducie_05::2012,Friedlander,Ducie (PI),Pacific,1,-24.6789,-124.785,11.5,-999,0,0,1,-999,NA,2,100,0.204,0,Remote,None,slope,0.222516123331368,0.278315937644055,0,0.0967681782860229,0.140271430058927,0.0732544074274132,0.054814229595766,0.12120025259177,0,0.0676736706604436,0.122864483005264,0.0448374107303383,19.3409537962453,2.80651701713124,Ducie_05,2012,-3.25289738271995
6.38737190438804,26633.33333305,Ducie_06::2012,Friedlander,Ducie (PI),Pacific,1,-24.6789,-124.785,12.4,-999,0,0,1,-999,NA,2,100,0.492,0.008,Remote,None,slope,0.0787365052953295,0.189759766610627,0.0308681902650844,0.0698027585071128,0.203313600886806,0.126189214550547,0,0.195436737620431,0,0.105893226264062,0.0443370115362148,0.0343994937591147,12.2885566978589,1.72146113142285,Ducie_06,2012,-3.25289738271995
7.11761244889652,37466.66666535,Ducie_07::2012,Friedlander,Ducie (PI),Pacific,1,-24.6789,-124.785,12.4,-999,0,0,1,-999,NA,2,100,0.724,0.044,Remote,None,slope,0.314366726298816,0.200514668687323,0.0661860240754264,0.0959466215328532,0.109970749050946,0.00640924570589118,0.0752435274168575,0.126126148406948,0.0189428356210202,0.0615369806207759,0.157561285849279,0.081561913032679,23.8185591154104,3.39780973792006,Ducie_07,2012,-3.25289738271995
7.22058358966355,43666.6666708,Ducie_08::2012,Friedlander,Ducie (PI),Pacific,1,-24.6789,-124.785,10.5,-999,0,0,1,-999,NA,2,100,0.76,0.024,Remote,None,slope,0.185981143573962,0.303240791377957,0.0672970068883857,0.106594764715793,0.182705128256245,0.00218799962877618,0,0.109250019940112,0,0.0427431456187685,0.0957966248347142,0.0901845187392481,22.7273904972108,3.16747771792114,Ducie_08,2012,-3.25289738271995
7.01210246542319,60366.66666491,Ducie_09::2012,Friedlander,Ducie (PI),Pacific,1,-24.6789,-124.785,11.5,-999,0,0,1,-999,NA,2,100,0.652,0.032,Remote,None,slope,0.257572547544397,0.251235785556109,0.0136399160773717,0.107820383515244,0.152340276204609,0.0290777741720766,0.0437514605286523,0.123484692985147,0.0173139345880894,0.0475146893569561,0.144529457296171,0.069291629719574,20.2559524080093,2.61641195467593,Ducie_09,2012,-3.25289738271995
6.89302800782846,5633.33333324,Ducie_10E::2012,Friedlander,Ducie (PI),Pacific,1,-24.6789,-124.785,13.1,-999,0,0,1,-999,NA,2,100,0.292,0,Remote,None,slope,0.424962482745571,0.335066223828762,0,0.129565842237227,0,0,0.265140809169064,0,0,0.11040545118844,0.0449064085189128,0.114915265057594,12.8533812080707,2.34388548167852,Ducie_10E,2012,-3.25289738271995
5.58085947420655,1933.33333337,Ducie_11::2012,Friedlander,Ducie (PI),Pacific,1,-24.6789,-124.785,12.1,-999,0,0,1,-999,NA,2,100,0.112,0.004,Remote,None,slope,0.355940441824424,0.543273630925531,0.100785927250045,0,0,0,0.2246373372046,0,0,0,0.131303104619824,0,8.7913442134177,1.22369176369074,Ducie_11,2012,-3.25289738271995
